"eBay Motors","eBay Auto"
"Route is not set.","Le chemin n'est pas défini."
"High","Elevé"
"Medium","Moyen"
"Low","Bas"
"Last action was completed successfully.","La dernière tâche est terminée."
"Entity ID is not set.","Le code d'entité n'est pas défini."
"View help handler is not set.","Le gestionnaire d'affichage de l'aide n'est pas défini."
"Close help handler is not set.","Le gestionnaire de fermeture de l'aide n'est pas défini."
"Log rows are not set.","Les lignes du journal ne sont pas définies."
"Log tips are not set.","Les conseils du journal ne sont pas définis."
"Log icons are not set.","Les icônes du journal ne sont pas définies."
"Apply","Appliquer"
"Conditions","Conditions"
"All Marketplaces","Toutes les places de marché"
"Bundle Items","Objets groupés"
"Links","Liens"
"Associated Products","Produits associés"
"Custom Options","Options personnalisées"
"Order #","N° de commande"
"Message","Message"
"Create Date","Date de création"
"Admin (Default Values)","Administrateur (valeurs par défaut)"
"Attach Another File","Joindre un autre fichier"
"Send Message","Envoyer le message"
"Search Results","Résultats de la recherche"
"Knowledge Base","Base de connaissances"
"Contact Support","Contacter le Service clients"
"Support {$m2eProVersion}","Assistance {$m2eProVersion}"
"Migration Notes","Notes de migration"
"Some attributes which are used in this policy were not found in products settings.'
                . ' Please, check if all of them are in [%s] Attribute Set(s)'
                . ' as it can cause List, Revise or Relist issues.","Certains attributs utilisés dans ces conditions sont introuvables dans les paramètres des produits.' . ' Vérifiez qu'ils se trouvent tous dans les jeux d'attributs [%s]' . ' pour éviter les problèmes de mise en vente, de modification ou de remise en vente."
"Template nick is not set.","L'état du modèle n'est pas défini."
"Component mode is not set.","Le mode du composant n'est pas défini."
"Template data is not set.","Les données du modèle ne sont pas définies."
"Currency ""%s"" is not allowed in <a href=""%s"" target=""_blank"">Currency Setup</a> '
                    . 'for Store View ""%s"" of your Magento. '
                    . 'Currency conversion will not be performed.","La devise « %s » n'est pas autorisée dans la <a href=""%s"" target=""_blank"">définition de la devise</a> ' . 'pour la vue boutique « %s » de Magento. ' . 'Les devises ne seront pas converties."
"There is no rate for ""%s-%s"" in'
                    . ' <a href=""%s"" target=""_blank"">Manage Currency Rates</a> of your Magento.'
                    . ' Currency conversion will not be performed.","Il n'existe aucun taux pour « %s-%s » dans la section' . ' <a href=""%s"" target=""_blank"">Gérer les taux de change</a> de Magento.' . ' Les devises ne seront pas converties."
"There is a rate %s for ""%s-%s"" in'
                . ' <a href=""%s"" target=""_blank"">Manage Currency Rates</a> of your Magento.'
                . ' Currency conversion will be performed automatically.","Il existe un taux %s pour « %s-%s » dans la section' . ' <a href=""%s"" target=""_blank"">Gérer les taux de change</a> de Magento.' . ' Les devises seront converties automatiquement."
"Template model is unknown.","Le type de modèle est inconnu."
"Target CSS Class is not set.","La classe CSS cible n'est pas définie."
"Item url is not set.","L'URL de l'objet n'est pas définie."
"Item label is not set","Le libellé de l'objet n'est pas défini"
"Congratulations!","Félicitations !"
"Configuration Wizard","Assistant de configuration"
"Skip Wizard","Ignorer l'Assistant"
"Congratulations! (Magento Multi-Channels Integration)","Félicitations ! (Intégration multicanal Magento)"
"License","Licence"
"Proceed","Continuer"
"Complete Configuration","Terminer la configuration"
"Configuration Wizard (Magento Multi-Channels Integration)","Assistant de configuration (Intégration multicanal Magento)"
"Start Configuration","Commencer la configuration"
"Welcome to M2E Pro - Magento Multi-Channels Integration!","Bienvenue dans l'intégration multicanal M2E Pro - Magento !"
"Create an M2E Listing","Créer une annonce M2E"
"M2E Registration Complete","Inscription M2E terminée"
"Sign into eBay","Se connecter à eBay"
"Register for eBay","S'inscrire sur eBay"
"M2E Registration","Inscription M2E"
"What Is An M2E Listing?","En quoi consiste une annonce M2E ?"
"M2E Mode","Mode M2E"
"What are M2E Products and How Do They Appear on eBay","Que sont les produits M2E et comment s'affichent-ils sur eBay ?"
"Register and Link to eBay","S'inscrire et lier à eBay"
"Link Magento to eBay and increase your sales","Liez eBay et Magento, et augmentez vos ventes"
"M2E Pro Migration to v. %s","Migration M2E Pro vers v. %s"
"Next Step","Etape suivante"
"Previous Step","Etape précédente"
"Complete","Terminé"
"M2E Pro module is locked because of security reason. Please contact us.","Le module M2E Pro est verrouillé pour des raisons de sécurité. Veuillez nous contacter."
"Maintenance is Active.","La maintenance est en cours."
"M2E Pro is working in maintenance mode at the moment. Developers are investigating your issue.","M2E Pro fonctionne actuellement en mode de maintenance. Les développeurs examinent votre problème."
"You will be able to see a content of this page soon. Please wait and then refresh a browser page later.","Le contenu de cette page sera disponible prochainement. Veuillez patienter et actualiser la page du navigateur plus tard."
"We are sorry, Internet Explorer browser is not supported. Please, use
                 another browser (Mozilla Firefox, Google Chrome, etc.).","Le navigateur Internet Explorer n'est pas pris en charge. Veuillez utiliser un autre navigateur (Mozilla Firefox, Google Chrome, etc.)."
"At least 1 channel of current view should be enabled.","Au moins un canal de la vue actuelle doit être activé."
"Step is invalid","L'étape n'est pas valide"
"Status is invalid","Le statut n'est pas valide"
"Server domain is not defined","Le domaine du serveur n'est pas défini"
"Server IP is not defined","L'adresse IP du serveur n'est pas définie"
"Amazon (Beta)","Amazon (Bêta)"
"Rakuten.com (Beta)","Rakuten.com (bêta)"
"Please, specify a value suitable for all chosen products.","Veuillez spécifier une valeur appropriée pour tous les produits sélectionnés."
"eBay","eBay"
"1 day","1 jour"
"3 days","3 jours"
"5 days","5 jours"
"7 days","7 jours"
"10 days","10 jours"
"30 days","30 jours"
"Good Till Cancelled","Valide jusqu'à annulation"
"Play.com (Beta)","Play.com (bêta)"
"Class name must begin with ""Ess_M2ePro""","Le nom de la classe doit commencer par « Ess_M2ePro »"
"Attribute sets must be less then 50","Le nombre de jeux d'attributs doit être inférieur à 50"
"Getting default website is failed","L'obtention du site Web par défaut a échoué"
"Getting default store group is failed","L'obtention du groupe de boutiques par défaut a échoué"
"Getting default store is failed","L'obtention de la boutique par défaut a échoué"
"Fatal error occurred","Une erreur critique est survenue"
"PHP Version","Version de PHP"
"Memory Limit","Limite de la mémoire"
"Magento Version","Version de Magento"
"Max Execution Time","Temps d'exécution maximum"
"Server connection is failed. Please try again later.","La connexion au serveur a échoué. Veuillez réessayer plus tard."
"Sell On Multi-Channels","Vendre sur plusieurs canaux"
"Controller file was loaded but class does not exist","Le fichier du contrôleur a été chargé, mais la classe n'existe pas"
"Control Panel (M2E Pro)","Panneau de commande (M2E Pro)"
"New buyer negative feedback was received. Go to the %sfeedback page%s.","Un acheteur a laissé une nouvelle évaluation négative. Accédez à la %spage des évaluations%s."
"The token for ""%s"" eBay Account has been expired.
                        <br/>
                        Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                        click on the Get Token button. (You will be redirected to the eBay website.)
                        Sign-in and press I Agree on eBay page.
                        Do not forget to press Save button after returning back to Magento","Le jeton pour le compte eBay « %s » a expiré.                        <br/>                        Accédez au menu %s > Configuration > Compte eBay > <a href=""%s"" target=""_blank"">onglet Général</a>, puis cliquez sur le bouton Demander un jeton. (Vous serez ensuite redirigé vers le site Web eBay.) Connectez-vous, puis cliquez sur J'accepte sur la page eBay. N'oubliez pas de cliquer sur le bouton Enregistrer une fois de retour dans Magento."
"Attention! The token for ""%s"" eBay Account will be expired soon ( %s ).
                    <br/>
                    Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                    click on the Get Token button. (You will be redirected to the eBay website.)
                    Sign-in and press I Agree on eBay page.
                    Do not forget to press Save button after returning back to Magento","Attention ! Le jeton pour le compte eBay « %s » expire bientôt ( %s ).                    <br/>                        Accédez au menu %s > Configuration > Compte eBay > <a href=""%s"" target=""_blank"">onglet Général</a>, puis cliquez sur le bouton Demander un jeton. (Vous serez ensuite redirigé vers le site Web eBay.) Connectez-vous, puis cliquez sur J'accepte sur la page eBay. N'oubliez pas de cliquer sur le bouton Enregistrer une fois de retour dans Magento."
"Sell On eBay","Vendre sur eBay"
"Request was deleted during account deleting.","La requête a été supprimée lors de la suppression du compte."
"Encoding type ""%s"" is not supported.","Le type d'encodage « %s » n'est pas pris en charge."
"Instance does not exist.","L'instance n'existe pas."
"Method require loaded instance first","La méthode requiert le chargement préalable de l'instance"
"Error occurred while creating archive.","Une erreur est survenue lors de la création de l'archive."
"Content does not exist.","Le contenu n'existe pas."
"Set component mode first","Définissez d'abord le mode du composant"
"Resource is not set.","La ressource n'est pas définie."
"ORM for config is not defined.","La valeur ORM pour la configuration n'est pas définie."
"Validation Failed. The server response data is not valid.","Echec de la validation. Les données de réponse du serveur ne sont pas valides."
"Internal server error(s) [%errors%]","Erreurs internes du serveur [%errors%]"
"Please ensure that CURL library is installed on your server and it supports HTTPS
            protocol. Also ensure that outgoing connection to m2epro.com, port 443 is allowed by firewall.","Vérifiez que la bibliothèque CURL est installée sur votre serveur et qu'elle prend en charge le protocole HTTPS. Vérifiez également que la connexion sortante à m2epro.com (port 443) est autorisée par le pare-feu."
"Requested command has invalid format.","Le format de la commande demandée est incorrect."
"The name of log file is not specified.","Le nom du journal n'est pas spécifié."
"Creation of Log file is failed.","La création du journal a échoué."
"Removing of Log file is failed.","La suppression du journal a échoué."
"M2ePro base var dir creation is failed.","La création de l'attribut var dir M2E Pro base a échoué."
"Custom var dir creation is failed.","La création de l'attribut var dir personnalisé a échoué."
"M2ePro base var dir removing is failed.","La suppression de l'attribut var dir M2E Pro base a échoué."
"Custom var dir removing is failed.","La suppression de l'attribut var dir personnalisé a échoué."
"Listing component is not defined.","Le composant d'annonce n'est pas défini."
"Listing id is not defined.","Le numéro d'annonce n'est pas défini."
"Item was successfully mapped","L'objet a été mappé"
"Item was successfully unmapped","L'objet a été démappé"
"Product id is not set","Le code produit n'est pas défini."
"Item was successfully deleted","L'objet a été supprimé"
"Listing was successfully deleted","L'annonce a été supprimée"
"Item was successfully added","L'objet a été ajouté"
"Variation option was deleted. Item was reset.","L'option de version a été supprimée. L'objet a été réinitialisé."
"Wrong nick of lock item.","L'état de l'objet verrouillé est incorrect."
"Wrong max deactivate lock item time.","La durée maximale de désactivation de l'objet verrouillé est incorrecte."
"Wrong object class for getting action_id!","La classe d'objet pour obtenir action_id est incorrecte."
"Cancel is not allowed for Orders which were already Canceled.","L'annulation n'est pas autorisée pour les commandes déjà annulées."
"Cancel is not allowed for Orders with Invoiced Items.","L'annulation n'est pas autorisée pour les commandes comportant des objets facturés."
"Cancel is not allowed for Orders which were put on Hold.","L'annulation n'est pas autorisée pour les commandes suspendues."
"Cancel is not allowed for Orders which were Completed or Closed.","L'annulation n'est pas autorisée pour les commandes finalisées ou clôturées."
"M2E Pro Notes","Commentaires M2E Pro"
"is","est"
"is not","n'est pas"
"equals or greater than","est supérieur ou égal à"
"equals or less than","est inférieur ou égal à"
"greater than","supérieur à"
"less than","inférieur à"
"contains","inclut"
"does not contain","n'inclut pas"
"is one of","appartient à"
"is not one of","n'appartient pas à"
"TRUE","VRAI"
"FALSE","FAUX"
"Please choose a condition to add...","Sélectionnez l'état à ajouter..."
"Add","Ajouter"
"Remove","Supprimer"
"Conditions Combination","Combinaison de conditions"
"Product Attribute","Attribut du produit"
"ALL","TOUT"
"ANY","N'IMPORTE LEQUEL"
"If %s of these conditions are %s:","Si %s de ces conditions sont %s :"
"Attribute Set","Jeu d'attributs"
"Open Chooser","Ouvrir l'outil de sélection"
"Out Of Stock","En rupture de stock"
"Prefix must be specified before.","Le préfixe doit être spécifié au préalable."
"Stock Item is not set.","L'objet du stock n'est pas défini."
"The requested quantity is not available.","La quantité demandée n'est pas disponible."
"Yes","Oui"
"No","Non"
"The Product ID is not set.","Le code produit n'est pas défini."
"Load instance first","Commencez par charger l'instance"
"Attribute does not exist.","L'attribut n'existe pas."
"There is no associated products found for grouped product.","Aucun produit associé ne correspond au produit groupé."
"Payment Status for eBay Order was updated to Paid.","Le statut du paiement de la commande eBay a été remplacé par Payé."
"Payment Status for %s Order was not updated. View %sorder log%s for more details.","Le statut du paiement de la commande %s n'a pas été mis à jour. Consultez le %sjournal des commandes%s pour plus de détails."
"From [%from%] to [%to%]","De [%from%] à [%to%]"
"IN Stock","En stock"
"OUT of Stock","En rupture de stock"
"Enabled","Activé"
"Disabled","Désactivé"
"From [%from%] to [%to%].","De [%from%] à [%to%]."
"None","Aucun"
"Attribute ""%attr%"" from [%from%] to [%to%].","Attribut « %attr% » de [%from%] à [%to%]."
"Shipping Status for eBay Order was updated.","Le statut de la livraison de la commande eBay a été modifié."
"Updating Amazon Order Status to Shipped in Progress...","Remplacement du statut de la commande Amazon par Envoyé..."
"Updating Rakuten.com Order Status to Shipped in Progress...","Remplacement du statut de la commande Rakuten.com par Envoyé..."
"Updating Play.com Order Status to Shipped in Progress...","Remplacement du statut de la commande Play.com par Envoyé..."
"Shipping Status for %s Order was not updated. View %sorder log%s for more details.","Le statut de la livraison de la commande %s n'a pas été mis à jour. Consultez le %sjournal des commandes%s pour plus de détails."
"Product reindex was executed.","La réindexation des produits a été exécutée."
"Order ID is invalid.","Numéro de commande non valide."
"Action is invalid.","Action non valide."
"Creator is invalid.","Créateur non valide."
"Magento product is not set.","Le produit Magento n'est pas défini."
"There is no associated product found for grouped product.","Aucun produit associé ne correspond au produit groupé."
"There is no associated product found for configurable product.","Aucun produit associé ne correspond au produit configurable."
"Qty cannot be less than zero.","La quantité ne peut pas être inférieure à zéro."
"Product is disabled.","Le produit est désactivé."
"Order Import does not support product type: %type%.","L'importation de la commande ne prend pas en charge le type de produit %type%."
"Selected options do not match the product options.","Les options sélectionnées ne correspondent pas aux options du produit."
"Required options were not selected.","Certaines options obligatoires n'ont pas été sélectionnées."
"Invalid order log type.","Type de journal des commandes non valide."
"Invalid order log initiator.","Initiateur de journal des commandes non valide."
"Store is not set.","La boutique n'est pas définie."
"Invalid repair data.","Données de réparation non valides."
"Invalid repair type.","Type de réparation non valide."
"QTY is already reserved.","La quantité est déjà réservée."
"QTY reservation is disabled in Account settings.","La réservation de la quantité est désactivée dans les paramètres du compte."
"QTY is already released.","La quantité est déjà libérée."
"QTY reserve is already canceled.","La quantité réservée est déjà annulée."
"The Order Item(s) was not mapped to Magento Product(s) or mapped incorrect.","Les objets de la commande n'ont pas été mappés vers des produits Magento ou le mappage est incorrect."
"Product(s) does not exist.","Les produits n'existent pas."
"Shipment handler not found.","Gestionnaire de livraisons introuvable."
"Magento Order was not created. Reason: %msg%","La commande Magento n'a pas été créée. Motif : %msg%"
"Magento Order #%order_id% was created.","La commande Magento n° %order_id% a été créée."
"Payment Transaction was not created. Reason: %msg%","La transaction de paiement n'a pas été créée. Motif : %msg%"
"Invoice was not created. Reason: %msg%","La facture n'a pas été créée. Motif : %msg%"
"Invoice #%invoice_id% was created.","La facture n° %invoice_id% a été créée."
"Shipment was not created. Reason: %msg%","L'envoi n'a pas été créé. Motif : %msg%"
"Shipment #%shipment_id% was created.","L'envoi n° %shipment_id% a été créé."
"Tracking details were not imported. Reason: %msg%","Les informations de suivi n'ont pas été importées. Motif : %msg%"
"Tracking details were imported.","Les informations de suivi ont été importées."
"Magento Order #%order_id% was canceled.","La commande Magento n° %order_id% a été annulée."
"Magento Order #%order_id% was not canceled. Reason: %msg%","La commande Magento n° %order_id% n'a pas été annulée. Motif : %msg%"
"Store does not exist.","La boutique n'existe pas."
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.","Le mode de paiement « Paiement M2E Pro » est désactivé dans la configuration Magento."
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.","Le mode de livraison « Livraison M2E Pro » est désactivé dans la configuration Magento."
"Item was successfully moved","L'objet a été déplacé"
"Duplicated Play.com orders with ID #%id%.","Les commandes Play.com dont le numéro est %id% ont été dupliquées."
"Product import is disabled in Play Account settings.","L'importation de produits est désactivée dans les paramètres du compte Play."
"Product for Play Item ""%id%"" was created in Magento catalog.","Le produit correspondant à l'objet Play « %id% » a été créé dans le catalogue Magento."
"Product for Play Item ""%title%"" was created in Magento catalog.","Le produit correspondant à l'objet Play « %title% » a été créé dans le catalogue Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La création de commandes Magento pour les objets mis en vente via M2E Pro est désactivée dans les paramètres du compte."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La création de commandes Magento pour les objets mis en vente via un logiciel tiers est désactivée dans les paramètres du compte."
"Play Shipping","Livraison Play"
"Customer with ID specified in Play account settings does not exist.","Le client dont le pseudo est spécifié dans les paramètres du compte Play n'existe pas."
"Invalid component mode.","Mode du composant non valide."
"Magento Order creation is not allowed for Pending, Canceled and Refunded Play.com Orders.","La création de commandes Magento n'est pas autorisée pour les commandes Play.com en attente, annulées et remboursées."
"The Product(s) was not found on Play.com.","Les produits sont introuvables sur Play.com."
"Step is out of knowledge base.","L'étape n'est pas incluse dans la base de connaissances."
"Task ""Getting Products Links"" is started. Please wait...","La tâche « Obtention des liens des produits » a démarré. Veuillez patienter..."
"Task ""Getting Products Links"" is finished. Please wait...","La tâche « Obtention des liens des produits » est terminée. Veuillez patienter..."
"Item status was successfully changed to ""Active"".","Le statut de l'objet a été remplacé par « En cours »."
"Item status was successfully changed to ""Inactive"".","Le statut de l'objet a été remplacé par « Inactif »."
"Task ""Update Listings Products"" is started. Please wait...","La tâche « Mise à jour des produits des annonces » a démarré. Veuillez patienter..."
"Task ""Update Listings Products"" is finished. Please wait...","La tâche « Mise à jour des produits des annonces » est terminée. Veuillez patienter..."
"Task ""Default Synchronization"" is started. Please wait...","La tâche « Synchronisation par défaut » a démarré. Veuillez patienter..."
"Task ""Default Synchronization"" is finished. Please wait...","La tâche « Synchronisation par défaut » est terminée. Veuillez patienter..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","La tâche « Synchronisation des places de marché » a démarré. Veuillez patienter..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tâche « Synchronisation des places de marché » est terminée. Veuillez patienter..."
"The ""Categories Synchronization"" action for marketplace:
//        ""%mrk%"" has been successfully completed.","La tâche « Synchronisation des catégories » pour la place de marché : // « %mrk% » est terminée."
"Play.com Orders Receive Synchronization","Synchronisation des commandes Play.com reçues"
"Task ""%s"" is started. Please wait...","La tâche « %s » a démarré. Veuillez patienter..."
"Task ""%s"" is finished. Please wait...","La tâche « %s » est terminée. Veuillez patienter..."
"Play.com Orders Update Synchronization","Synchronisation des commandes Play.com modifiées"
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","La tâche « Synchronisation des annonces tierces » a démarré. Veuillez patienter..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","La tâche « Synchronisation des annonces tierces » est terminée. Veuillez patienter..."
"Task ""3rd Party Listings Synchronization"" for Play.com account: ","Tâche « Synchronisation des annonces tierces » pour le compte Play.com : "
"""%s"" is started. Please wait...","« %s » a démarré. Veuillez patienter..."
"The ""List"" action is started. Please wait...","La tâche « Mettre en vente » a démarré. Veuillez patienter..."
"The ""List"" action is finished. Please wait...","La tâche « Mettre en vente » est terminée. Veuillez patienter..."
"The ""Relist"" action is started. Please wait...","La tâche « Remettre en vente » a démarré. Veuillez patienter..."
"The ""Relist"" action is finished. Please wait...","La tâche « Remettre en vente » est terminée. Veuillez patienter..."
"The ""Revise"" action is started. Please wait...","La tâche « Modifier » a démarré. Veuillez patienter..."
"The ""Revise"" action is finished. Please wait...","La tâche « Modifier » est terminée. Veuillez patienter..."
"The ""Stop"" action is started. Please wait...","La tâche « Arrêter » a démarré. Veuillez patienter..."
"The ""Stop"" action is finished. Please wait...","La tâche « Arrêter » est terminée. Veuillez patienter..."
"Task ""Inventory Synchronization"" is started. Please wait...","La tâche « Synchronisation de l'inventaire » a démarré. Veuillez patienter..."
"Task ""Inventory Synchronization"" is finished. Please wait...","La tâche « Synchronisation de l'inventaire » est terminée. Veuillez patienter..."
"Task ""Inventory Synchronization"" has completed
//                with errors. View %sl%listings log%el% for details.","La tâche « Synchronisation de l'inventaire » s'est terminée // avec des erreurs. Consultez le %sl%journal des annonces%el% pour plus de détails."
"Task ""Inventory Synchronization"" has completed
//                with warnings. View %sl%listings log%el% for details.","La tâche « Synchronisation de l'inventaire » s'est terminée // avec des avertissements. Consultez le %sl%journal des annonces%el% pour plus de détails."
"Communication with Play.com is started. Please wait...","Début de la communication avec Play.com. Veuillez patienter..."
"Please wait...","Veuillez patienter..."
"product(s)","produit(s)"
"product(s) with id(s)","produit(s) avec code"
"Communication with Play.com is finished. Please wait...","Fin de la communication avec Play.com. Veuillez patienter..."
"Request failed.","La requête a échoué."
"Another synchronization is already running","Une autre synchronisation est déjà en cours d'exécution"
"The ""Deleted Products"" action is started. Please wait...","La tâche « Produits supprimés » a démarré. Veuillez patienter..."
"The ""Deleted Products"" action is finished. Please wait...","La tâche « Produits supprimés » est terminée. Veuillez patienter..."
"The ""Auto Actions"" action is started. Please wait...","La tâche « Actions automatiques » a démarré. Veuillez patienter..."
"The ""Auto Actions"" action is finished. Please wait...","La tâche « Actions automatiques » est terminée. Veuillez patienter..."
"The ""Product Changes"" action is started. Please wait...","La tâche « Modifications des produits » a démarré. Veuillez patienter..."
"The ""Product Changes"" action is finished. Please wait...","La tâche « Modifications des produits » est terminée. Veuillez patienter..."
"The ""Inspector Actions"" action is started. Please wait...","La tâche « Actions de l'inspecteur » a démarré. Veuillez patienter..."
"The ""Inspector Actions"" action is finished. Please wait...","La tâche « Actions de l'inspecteur » est terminée. Veuillez patienter..."
"The ""Processing"" action is started. Please wait...","La tâche « Traitement » a démarré. Veuillez patienter..."
"The ""Processing"" action is finished. Please wait...","La tâche « Traitement » est terminée. Veuillez patienter..."
"The ""Stopping Products"" action is started. Please wait...","La tâche « Arrêt des produits » a démarré. Veuillez patienter..."
"The ""Stopping Products"" action is finished. Please wait...","La tâche « Arrêt des produits » est terminée. Veuillez patienter..."
"Review","Avis"
"Currency Conversion","Convertisseur de devises"
"Notifications","Notifications"
"Please select account(s) to remove.","Veuillez sélectionner les comptes à supprimer."
"%s record(s) were successfully deleted.","Entrées supprimées : %s."
"%s record(s) are used in M2E Listing(s).","Entrées utilisées dans des annonces M2E : %s."
"Account must not be in use to be deleted.","Pour pouvoir être supprimé, le compte ne doit pas être en cours d'utilisation."
"Amazon Accounts","Comptes Amazon"
"Account does not exist.","Le compte n'existe pas."
"The Amazon access obtaining is currently unavailable.<br />Reason: %s","Impossible d'obtenir l'accès à Amazon pour le moment.<br />Motif : %s"
"Account was successfully saved","Le compte a été enregistré"
"Manage Listings","Gérer les annonces"
"Amazon Listings","Annonces Amazon"
"Listing was successfully added","L'annonce a été ajoutée"
"Listing does not exist.","L'annonce n'existe pas."
"The listing is locked by another process. Please try again later.","L'annonce est verrouillée par un autre processus. Veuillez réessayer plus tard."
"The listing was successfully saved.","L'annonce a été enregistrée."
"Please select item(s) to remove.","Veuillez sélectionner les objets à supprimer."
"%s listing(s) were successfully deleted","Annonces supprimées : %s"
"%s listing(s) have listed items and can not be deleted","Annonces comportant des objets mis en vente et ne pouvant pas être supprimées : %s"
"Listing does not exist..","L'annonce n'existe pas."
"The products were added to listing.","Les produits ont été ajoutés à l'annonce."
"NO DATA","AUCUNE DONNEE"
"There is another active automatic ASIN/ISBN search task ","Une autre tâche de recherche automatique par code ASIN/ISBN est en cours "
"for some item(s). Please wait until this search process is finished.","pour certains objets. Veuillez patienter jusqu'à la fin du processus de recherche."
"ASIN(s) was successfully unassigned.","L'affectation des codes ASIN a été annulée."
"Some ASIN(s) were not unassigned as their listing status is other than ""Not Listed"".","L'affectation de certains codes ASIN n'a pas été annulée, car le statut des annonces n'est pas « Non mis en vente »."
"Amazon Orders","Commandes Amazon"
"Magento Order was created.","La commande Magento a été créée."
"Magento Order was not created. Reason: %s","La commande Magento n'a pas été créée. Motif : %s"
"Invoice was created.","La facture a été créée."
"Shipment was created.","L'envoi a été créé."
"Order address has been updated.","L'adresse de la commande a été modifiée."
"Please select order(s).","Veuillez sélectionner des commandes."
"Updating Amazon Order(s) Status to Shipped in Progress...","Remplacement du statut des commandes Amazon par Envoyé..."
"Order does not exist.","La commande n'existe pas."
"Please select Not Listed items without assigned ASIN.","Veuillez sélectionner des objets non mis en vente sans code ASIN."
"Template has been successfully saved.","Le modèle a été enregistré."
"Some of the New ASIN template(s) cannot be deleted as they have assigned product(s)","Certains modèles Nouveau code ASIN ne peuvent pas être supprimés, car des produits leur sont affectés"
"There are no items to assign.","Il n'existe aucun objet à affecter."
"Template has been successfully assigned.","Le modèle a été affecté."
"Some products were not assigned.","Certains produits n'ont pas été affectés."
"Please enter keywords.","Veuillez saisir des mots-clés."
"Please select at least 1 listing product.","Sélectionnez au moins un produit de l'annonce."
"Template does not exist","Le modèle n'existe pas"
"Template was successfully saved","Le modèle a été enregistré"
"Rakuten.com Accounts","Comptes Rakuten.com"
"The Rakuten.com access obtaining is currently unavailable.<br />Reason: %s","Impossible d'obtention l'accès à Rakuten.com pour le moment.<br />Motif : %s"
"Rakuten.com Listings","Annonces Rakuten.com"
"Rakuten.com SKU(s) was successfully unassigned.","L'affectation des références articles Rakuten.com a été annulée."
"Some Rakuten.com SKU(s) were not unassigned as their listing status is other than ""Not Listed"".","L'affectation de certaines références articles Rakuten.com n'a pas été annulée, car le statut des annonces n'est pas « Non mis en vente »."
"Rakuten.com Orders","Commandes Rakuten.com"
"Please select Not Listed items without Rakuten.com SKU assigned.","Sélectionnez des objets non mis en vente sans référence article Rakuten.com."
"Please select Not Listed items.","Sélectionnez des objets non mis en vente."
"Some of the New SKU template(s) cannot be deleted as they have assigned product(s)","Certains modèles Nouvelle référence article ne peuvent pas être supprimés, car des produits leur sont affectés"
"Each keyword should be at least three characters.","Chaque mot-clé doit comporter au moins trois caractères."
"Product(s) was not assigned","Les produits n'ont pas été affectés"
"Global","International"
"The 3rd party listings are locked by another process. ","Les annonces tierces sont verrouillées par un autre processus. "
"Please try again later.","Veuillez réessayer plus tard."
"Component is not defined.","Le composant n'est pas défini."
"The item was successfully removed.","L'objet a été supprimé."
"You must create at least one selling format template first.","Vous devez d'abord créer au moins un modèle Format de mise en vente."
"You must create at least one synchronization template first.","Vous devez d'abord créer au moins un modèle Synchronisation."
"Component and Listing Product must be specified.","Le composant et le produit de l'annonce doivent être spécifiés."
"Component, Listing Product and Variation Data must be specified.","Le composant, le produit de l'annonce et les données de version doivent être spécifiés."
"Only 1 variation must leave.","Un seule version doit être supprimée."
"Variation has been successfully edited.","La version a été modifiée."
"Variation(s) has been successfully saved.","Les versions ont été enregistrées."
"Component and Listing Products must be specified.","Le composant et les produits des annonces doivent être spécifiés."
"The items were successfully duplicated.","Les objets ont été dupliqués."
"Activity Logs","Journaux d'activité"
"3rd Party Listing does not exist.","L'annonce tierce n'existe pas."
"Play.com Accounts","Comptes Play.com"
"The Play.com access obtaining is currently unavailable.<br />Reason: %s","Impossible d'obtention l'accès à Play.com pour le moment.<br />Motif : %s"
"Play.com Listings","Annonces Play.com"
"Play ID(s) was successfully unassigned.","L'affectation des identifiants Play a été annulée."
"Some Play ID(s) were not unassigned as their listing status is other than ""Not Listed"".","L'affectation de certains identifiants Play n'a pas été annulée, car le statut des annonces n'est pas « Non mis en vente »."
"Play.com Orders","Commandes Play.com"
"Component can'be empty","Le composant ne peut pas être vide"
"Please select item(s) to clear","Veuillez sélectionner les objets à annuler"
"The synchronization task log has been successfully cleaned.","Le journal de la tâche de synchronisation a été nettoyé."
"Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.","Les données ont été envoyées sur Amazon. Elles sont en cours de traitement. Vous pouvez continuer à utiliser M2E Pro."
"Data has been sent on Rakuten.com. It is being processed now. You can continue working with M2E Pro.","Les données ont été envoyées sur Rakuten.com. Elles sont en cours de traitement. Vous pouvez continuer à utiliser M2E Pro."
