"eBay Motors","eBay Motori"
"Product id is not set","ID prodotto non impostato"
"Item was successfully deleted","Oggetto eliminato correttamente"
"Listing was successfully deleted","Inserzione eliminata correttamente"
"Item was successfully added","Oggetto aggiunto correttamente"
"Variation option was deleted. Item was reset.","Opzione variante eliminata. Oggetto reimpostato."
"Wrong nick of lock item.","Pseudonimo errato dell'oggetto di blocco."
"Wrong max deactivate lock item time.","Ora dell'oggetto di blocco di disattivazione massima errata."
"Wrong object class for getting action_id!","Classe di oggetto errata per l'ottenimento di action_id."
"Cancel is not allowed for Orders which were already Canceled.","Annullamento non consentito per ordini già annullati."
"Cancel is not allowed for Orders with Invoiced Items.","Annullamento non consentito per ordini con oggetti fatturati."
"Cancel is not allowed for Orders which were put on Hold.","Annullamento non consentito per ordini completati o chiusi."
"Cancel is not allowed for Orders which were Completed or Closed.","Annullamento non consentito per ordini completati o chiusi."
"M2E Pro Notes","Note M2E Pro"
"is","è"
"is not","non è"
"equals or greater than","uguale o superiore a"
"equals or less than","uguale o inferiore a"
"greater than","superiore a"
"less than","meno di"
"contains","contiene"
"does not contain","non contiene"
"is one of","è uno di"
"is not one of","non è uno di"
"TRUE","VERO"
"FALSE","FALSO"
"Please choose a condition to add...","Seleziona una condizione da aggiungere..."
"Add","Aggiungi"
"Remove","Rimuovi"
"Conditions Combination","Combinazione di condizioni"
"Product Attribute","Attributo prodotto"
"ALL","TUTTI"
"ANY","QUALSIASI"
"If %s of these conditions are %s:","Se %s di queste condizioni sono %s:"
"Attribute Set","Insieme di attributi"
"Open Chooser","Apri strumento di selezione"
"Out Of Stock","Esaurito"
"Prefix must be specified before.","Devi prima specificare il prefisso."
"Stock Item is not set.","Oggetto non impostato."
"The requested quantity is not available.","Quantità richiesta non disponibile."
"Yes","Sì"
"No","No"
"The Product ID is not set.","ID prodotto non impostato."
"Load instance first","Carica prima l'istanza"
"Attribute does not exist.","L'attributo non esiste."
"There is no associated products found for grouped product.","Nessun prodotto associato trovato per prodotto raggruppato."
"Payment Status for eBay Order was updated to Paid.","Stato del pagamento per l'ordine eBay aggiornato in Pagato."
"Payment Status for %s Order was not updated. View %sorder log%s for more details.","Stato del pagamento per l'ordine ""%s"" non aggiornato. Per ulteriori dettagli, mostra  il %sregistro ordini%s."
"From [%from%] to [%to%]","Da [%from%] a [%to%]"
"IN Stock","In magazzino"
"OUT of Stock","Esaurito"
"Enabled","Abilitata"
"Disabled","Disabilitata"
"From [%from%] to [%to%].","Da [%from%] a [%to%]."
"None","Nessuno"
"Attribute ""%attr%"" from [%from%] to [%to%].","Attributo ""%attr%"" da [%from%] a [%to%]."
"Shipping Status for eBay Order was updated.","Stato della spedizione per l'ordine eBay aggiornato."
"Updating Amazon Order Status to Shipped in Progress...","Aggiornamento dello stato dell'ordine Amazon in Spedito in corso..."
"Updating Rakuten.com Order Status to Shipped in Progress...","È in corso l'aggiornamento dello stato dell'ordine Rakuten.com su Spedito..."
"Updating Play.com Order Status to Shipped in Progress...","È in corso l'aggiornamento dello stato dell'ordine Play.com su Spedito..."
"Shipping Status for %s Order was not updated. View %sorder log%s for more details.","Stato della spedizione per l'ordine %s non aggiornato. Per ulteriori dettagli, visualizza il %sregistro ordini%s."
"Product reindex was executed.","Reindicizzazione prodotti eseguita."
"Order ID is invalid.","ID ordine non valido."
"Action is invalid.","Azione non valida."
"Creator is invalid.","Creazione non valida."
"Magento product is not set.","Prodotto Magento non impostato."
"There is no associated product found for grouped product.","Nessun prodotto associato trovato per prodotto raggruppato."
"There is no associated product found for configurable product.","Nessun prodotto associato per prodotto configurabile."
"Qty cannot be less than zero.","La quantità non può essere minore di zero."
"Product is disabled.","Il prodotto è disabilitato."
"Order Import does not support product type: %type%.","L'importazione dell'ordine non supporta il tipo di prodotto: %type%."
"Selected options do not match the product options.","Le opzioni selezionate non corrispondono a quelle del prodotto."
"Required options were not selected.","Opzioni necessarie non selezionate."
"Invalid order log type.","Tipo di registro dell'ordine non valido."
"Invalid order log initiator.","Iniziatore registro ordini non valido."
"Store is not set.","Negozio non impostato."
"Invalid repair data.","Ripristino dati non valido."
"Invalid repair type.","Tipo ripristino non valido."
"QTY is already reserved.","Quantità già prenotata."
"QTY reservation is disabled in Account settings.","Prenotazione quantità disabilitata nelle impostazioni dell'account."
"QTY is already released.","Quantità già sbloccata."
"QTY reserve is already canceled.","Prenotazione quantità già annullata."
"The Order Item(s) was not mapped to Magento Product(s) or mapped incorrect.","Gli oggetti dell'ordine non sono associati a prodotti Magento oppure l'associazione è errata."
"Product(s) does not exist.","I prodotti non esistono."
"Shipment handler not found.","Gestore spedizione non trovato."
"Magento Order was not created. Reason: %msg%","Ordine Magento non creato. Motivo: %msg%"
"Magento Order #%order_id% was created.","L'ordine Magento #%order_id% è stato creato."
"Payment Transaction was not created. Reason: %msg%","La transazione del pagamento non è stata creata. Motivo: %msg%"
"Invoice was not created. Reason: %msg%","La fattura non è stata creata. Motivo: %msg%"
"Invoice #%invoice_id% was created.","La fattura #%invoice_id% è stata creata."
"Shipment was not created. Reason: %msg%","La spedizione non è stata creata. Motivo: %msg%"
"Shipment #%shipment_id% was created.","La spedizione #%shipment_id% è stata creata."
"Tracking details were not imported. Reason: %msg%","I dettagli di tracciamento non sono stati importati. Motivo: %msg%"
"Tracking details were imported.","I dettagli di tracciamento sono stati importati."
"Magento Order #%order_id% was canceled.","L'ordine Magento #%order_id% è stato annullato."
"Magento Order #%order_id% was not canceled. Reason: %msg%","L'ordine Magento #%order_id% non è stato annullato. Motivo: %msg%"
"Store does not exist.","Il negozio non esiste."
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.","Il metodo di pagamento ""Pagamento M2E Pro"" è disabilitato nella configurazione Magento."
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.","Il metodo di spedizione ""Spedizione M2E Pro"" è disabilitato nella configurazione Magento."
"Item was successfully moved","Oggetto spostato correttamente"
"Duplicated Play.com orders with ID #%id%.","Ordini Play.com duplicati con ID %id%."
"Product import is disabled in Play Account settings.","L'importazione del prodotto è disabilitata nelle impostazioni dell'account Play."
"Product for Play Item ""%id%"" was created in Magento catalog.","Il prodotto per l'oggetto Play ""%id%"" è stato creato nel catalogo Magento."
"Product for Play Item ""%title%"" was created in Magento catalog.","Il prodotto per l'oggetto Play ""%title%"" è stato creato nel catalogo Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La creazione dell'ordine Magento per oggetti messi in vendita da M2E Pro è disabilitata nelle impostazioni di account."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La creazione dell'ordine Magento per oggetti messi in vendita da software di terze parti è disabilitata nelle impostazioni di account."
"Play Shipping","Spedizione Play"
"Customer with ID specified in Play account settings does not exist.","Il cliente con l'ID specificato nelle impostazioni dell'account Play non esiste."
"Invalid component mode.","Modalità componente non valida."
"Magento Order creation is not allowed for Pending, Canceled and Refunded Play.com Orders.","La creazione dell'ordine Magento non è consentita per ordini Play.com in sospeso, annullati e rimborsati."
"The Product(s) was not found on Play.com.","Prodotti non trovati su Play.com."
"Step is out of knowledge base.","Il passaggio non è contenuto nella knowledge base."
"Task ""Getting Products Links"" is started. Please wait...","Attività ""Ricezione link prodotti"" è iniziata. Attendi..."
"Task ""Getting Products Links"" is finished. Please wait...","L'attività ""Ricezione link prodotti"" è terminata. Attendi..."
"Item status was successfully changed to ""Active"".","Stato dell'oggetto modificato correttamente in ""Attivo""."
"Item status was successfully changed to ""Inactive"".","Stato dell'oggetto modificato correttamente in ""Inattivo""."
"Task ""Update Listings Products"" is started. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" è iniziata. Attendi..."
"Task ""Update Listings Products"" is finished. Please wait...","L'attività ""Aggiorna prodotti delle inserzioni"" è terminata. Attendi..."
"Task ""Default Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione predefinita"" è iniziata. Attendi..."
"Task ""Default Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione predefinita"" è terminata. Attendi..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione mercati"" è iniziata. Attendi..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione mercati"" è terminata. Attendi..."
"The ""Categories Synchronization"" action for marketplace:
//        ""%mrk%"" has been successfully completed.","Azione ""Sincronizzazione categorie"" per il mercato: // ""%mrk%"" completata correttamente."
"Play.com Orders Receive Synchronization","Sincronizzazione ricezione ordini Play.com"
"Task ""%s"" is started. Please wait...","L'attività ""%s"" è iniziata. Attendi..."
"Task ""%s"" is finished. Please wait...","L'attività ""%s"" è terminata. Attendi..."
"Play.com Orders Update Synchronization","Sincronizzazione aggiornamenti ordini Play.com"
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione inserzioni di terze parti"" è iniziata. Attendi..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione inserzioni di terze parti"" è terminata. Attendi..."
"Task ""3rd Party Listings Synchronization"" for Play.com account: ","L'attività ""Sincronizzazione inserzioni di terze parti"" per account Play.com: "
"""%s"" is started. Please wait...","%s è iniziata. Attendi..."
"The ""List"" action is started. Please wait...","L'azione ""Metti in vendita"" è iniziata. Attendi..."
"The ""List"" action is finished. Please wait...","L'azione ""Metti in vendita"" è terminata. Attendi..."
"The ""Relist"" action is started. Please wait...","L'azione ""Rimetti in vendita"" è iniziata. Attendi..."
"The ""Relist"" action is finished. Please wait...","L'azione ""Rimetti in vendita"" è terminata. Attendi..."
"The ""Revise"" action is started. Please wait...","L'azione ""Modifica"" è iniziata. Attendi..."
"The ""Revise"" action is finished. Please wait...","L'azione ""Modifica"" è terminata. Attendi..."
"The ""Stop"" action is started. Please wait...","L'azione ""Interruzione"" è iniziata. Attendi..."
"The ""Stop"" action is finished. Please wait...","L'azione ""Interruzione"" è terminata. Attendi..."
"Task ""Inventory Synchronization"" is started. Please wait...","L'attività ""Sincronizzazione magazzino"" è iniziata. Attendi..."
"Task ""Inventory Synchronization"" is finished. Please wait...","L'attività ""Sincronizzazione magazzino"" è terminata. Attendi..."
"Task ""Inventory Synchronization"" has completed
//                with errors. View %sl%listings log%el% for details.","L'attività ""Sincronizzazione magazzino"" è stata completata // con errori. Vedi %sl%listings log%el% per dettagli."
"Task ""Inventory Synchronization"" has completed
//                with warnings. View %sl%listings log%el% for details.","L'attività ""Sincronizzazione magazzino"" è stata completata // con avvisi. Vedi %sl%listings log%el% per dettagli."
"Communication with Play.com is started. Please wait...","La comunicazione con Play.com è iniziata. Attendi..."
"Please wait...","Attendi..."
"product(s)","prodotti"
"product(s) with id(s)","prodotti con id"
"Communication with Play.com is finished. Please wait...","La comunicazione con Play.com è terminata. Attendi..."
"Request failed.","Richiesta non riuscita."
"Another synchronization is already running","È già in esecuzione un'altra sincronizzazione"
"The ""Deleted Products"" action is started. Please wait...","Azione ""Prodotti eliminati"" è iniziata. Attendi..."
"The ""Deleted Products"" action is finished. Please wait...","L'azione ""Prodotti eliminati"" è terminata. Attendi..."
"The ""Auto Actions"" action is started. Please wait...","L'azione ""Azioni automatiche"" è iniziata. Attendi..."
"The ""Auto Actions"" action is finished. Please wait...","L'azione ""Azioni automatiche"" è terminata. Attendi..."
"The ""Product Changes"" action is started. Please wait...","L'azione ""Modifiche al prodotto"" è iniziata. Attendi..."
"The ""Product Changes"" action is finished. Please wait...","L'azione ""Modifiche al prodotto"" è terminata. Attendi..."
"The ""Inspector Actions"" action is started. Please wait...","L'azione ""Azioni ispezione"" è iniziata. Attendi..."
"The ""Inspector Actions"" action is finished. Please wait...","L'azione ""Azioni ispezione"" è terminata. Attendi..."
"The ""Processing"" action is started. Please wait...","L'azione ""Elaborazione"" è iniziata. Attendi..."
"The ""Processing"" action is finished. Please wait...","L'azione ""Elaborazione"" è terminata. Attendi..."
"The ""Stopping Products"" action is started. Please wait...","L'azione ""Interruzione prodotti"" è iniziata. Attendi..."
"The ""Stopping Products"" action is finished. Please wait...","L'azione ""Interruzione prodotti"" è terminata. Attendi..."
"Review","Revisione"
"Currency Conversion","Cambio valuta"
"Notifications","Notifiche"
"Please select account(s) to remove.","Seleziona gli account da rimuovere."
"%s record(s) were successfully deleted.","Record %s eliminati correttamente."
"%s record(s) are used in M2E Listing(s).","I record %s sono utilizzati nelle inserzioni M2E."
"Account must not be in use to be deleted.","Per essere eliminato, l'account non deve essere in uso."
"Amazon Accounts","Account Amazon"
"Account does not exist.","L'account non esiste."
"The Amazon access obtaining is currently unavailable.<br />Reason: %s","L'ottenimento dell'accesso Amazon non è attualmente disponibile.<br />Motivo: %s"
"Account was successfully saved","Account salvato correttamente"
"Manage Listings","Gestisci inserzioni"
"Amazon Listings","Inserzioni Amazon"
"Listing was successfully added","Inserzione aggiunta correttamente"
"Listing does not exist.","L'inserzione non esiste."
"The listing is locked by another process. Please try again later.","L'inserzione è bloccata da un altro processo. Riprova più tardi."
"The listing was successfully saved.","Inserzione salvata correttamente."
"Please select item(s) to remove.","Seleziona gli oggetti da rimuovere."
"%s listing(s) were successfully deleted","Inserzioni %s eliminate correttamente"
"%s listing(s) have listed items and can not be deleted","Le inserzioni %s hanno oggetti messi in vendita e non possono essere eliminate"
"Listing does not exist..","L'inserzione non esiste."
"The products were added to listing.","I prodotti sono stati aggiunti all'inserzione."
"NO DATA","NESSUN DATO"
"There is another active automatic ASIN/ISBN search task ","È presente un'altra attività di ricerca ASIN/ISBN automatica attiva "
"for some item(s). Please wait until this search process is finished.","per alcuni oggetti. Attendi il completamento del processo di ricerca."
"ASIN(s) was successfully unassigned.","Annullamento assegnazione numero ASIN effettuato correttamente."
"Some ASIN(s) were not unassigned as their listing status is other than ""Not Listed"".","L'assegnazione di alcuni numeri ASIN non è stata annullata in quanto lo stato dell'inserzione è diverso da ""Non messo in vendita""."
"Amazon Orders","Ordini Amazon"
"Magento Order was created.","Creazione dell'ordine Magento completata."
"Magento Order was not created. Reason: %s","Ordine Magento non creato. Motivo: %s"
"Invoice was created.","Creazione della fattura completata."
"Shipment was created.","Creazione della spedizione completata."
"Order address has been updated.","Aggiornamento dell'indirizzo dell'ordine completato."
"Please select order(s).","Seleziona ordini."
"Updating Amazon Order(s) Status to Shipped in Progress...","È in corso l'aggiornamento dello stato dell'ordine Amazon su Spedito..."
"Order does not exist."," dell'ordine inesistente."
"Please select Not Listed items without assigned ASIN.","Seleziona oggetti Non messi in vendita senza ASIN assegnato."
"Template has been successfully saved.","Salvataggio del modello effettuato correttamente."
"Some of the New ASIN template(s) cannot be deleted as they have assigned product(s)","Alcuni nuovi modelli ASIN non possono essere eliminati in quanto ad essi sono stati assegnati dei prodotti"
"There are no items to assign.","Non ci sono oggetti da assegnare."
"Template has been successfully assigned.","Assegnazione del modello effettuata correttamente."
"Some products were not assigned.","Alcuni prodotti non sono stati assegnati."
"Please enter keywords.","Immetti le parole chiave."
"Please select at least 1 listing product.","Seleziona almeno 1 prodotto dell'inserzione."
"Template does not exist","Modello non disponibile"
"Template was successfully saved","Salvataggio del modello effettuato correttamente"
"Rakuten.com Accounts","Account Rakuten.com"
"The Rakuten.com access obtaining is currently unavailable.<br />Reason: %s","Al momento non è possibile accedere a Rakuten.com.<br />Motivo: %s"
"Rakuten.com Listings","Inserzioni Rakuten.com"
"Rakuten.com SKU(s) was successfully unassigned.","Annullamento assegnazione codici prodotto Rakuten.com effettuato correttamente."
"Some Rakuten.com SKU(s) were not unassigned as their listing status is other than ""Not Listed"".","L'assegnazione di alcuni codici prodotto Rakuten.com non è stata annullata in quanto lo stato della rispettiva inserzione è diverso da ""Non messo in vendita""."
"Rakuten.com Orders","Ordini Rakuten.com"
"Please select Not Listed items without Rakuten.com SKU assigned.","Seleziona oggetti Non messi in vendita senza codice prodotto Rakuten.com assegnato."
"Please select Not Listed items.","Seleziona oggetti Non messi in vendita."
"Some of the New SKU template(s) cannot be deleted as they have assigned product(s)","Alcuni nuovi modelli del codice prodotto non possono essere eliminati in quanto ad essi sono stati assegnati dei prodotti"
"Each keyword should be at least three characters.","Ogni parola chiave deve contenere almeno tre caratteri."
"Product(s) was not assigned","Prodotto/i non assegnato/i"
"Global","Internazionale"
"The 3rd party listings are locked by another process. ","Le inserzioni di terze parti sono bloccate da un altro processo. "
"Please try again later.","Riprova più tardi."
"Component is not defined.","Componente non definito."
"The item was successfully removed.","L'oggetto è stato rimosso correttamente."
"You must create at least one selling format template first.","Innanzitutto è necessario creare almeno un modello di formato di vendita."
"You must create at least one synchronization template first.","Innanzitutto è necessario creare almeno un modello di sincronizzazione."
"Component and Listing Product must be specified.","È necessario indicare il componente e il prodotto dell'inserzione."
"Component, Listing Product and Variation Data must be specified.","È necessario indicare il componente, il prodotto dell'inserzione e i dati della variante."
"Only 1 variation must leave.","Deve essere rimossa 1 sola variante."
"Variation has been successfully edited.","Modifica della variante eseguita correttamente"
"Variation(s) has been successfully saved.","Modifica delle varianti eseguita correttamente"
"Component and Listing Products must be specified.","È necessario indicare il componente e i prodotti dell'inserzione."
"The items were successfully duplicated.","Duplicazione degli oggetti eseguita correttamente."
"Activity Logs","Registri attività "
"3rd Party Listing does not exist.","L'inserzione di terze parti non è disponibile."
"Play.com Accounts","Account Play.com"
"The Play.com access obtaining is currently unavailable.<br />Reason: %s","Al momento non è possibile accedere a Play.com.<br />Motivo: %s"
"Play.com Listings","Inserzioni Play.com"
"Play ID(s) was successfully unassigned.","Annullamento assegnazione ID Play effettuato correttamente."
"Some Play ID(s) were not unassigned as their listing status is other than ""Not Listed"".","L'assegnazione di alcuni ID Play non è stata annullata in quanto lo stato dell'inserzione è diverso da ""Non messo in vendita""."
"Play.com Orders","Ordini Play.com"
"Component can'be empty","Il componente non può essere vuoto"
"Please select item(s) to clear","Seleziona gli oggetti da cancellare"
"The synchronization task log has been successfully cleaned.","Il registro delle attività di sincronizzazione è stato pulito correttamente."
"Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.","I dati sono stati inviati ad Amazon. Attualmente sono in fase di elaborazione. Puoi continuare a utilizzare M2E Pro."
"Data has been sent on Rakuten.com. It is being processed now. You can continue working with M2E Pro.","I dati sono stati inviati a Rakuten.com. Attualmente sono in fase di elaborazione. Puoi continuare a utilizzare M2E Pro."
"Data has been sent on Play.com. It is being processed now. You can continue working with M2E Pro.","I dati sono stati inviati a Play.com. Attualmente sono in fase di elaborazione. Puoi continuare a utilizzare M2E Pro."
"%s record(s) are used in Listing(s).","I record %s sono utilizzati nelle inserzioni."
"Template must not be in use to be deleted.","Per poter essere eliminato, un modello non deve essere in uso."
"The global settings have been successfully saved.","Le impostazioni globali sono state salvate correttamente."
"The license key has been successfully updated.","Il codice di licenza è stato aggiornato correttamente."
"The license status has been successfully refreshed.","Lo stato della licenza è stato aggiornato correttamente."
"The clearing settings has been successfully saved.","Le impostazioni di cancellazione sono state salvate correttamente."
"Log for %s has been successfully cleared.","Il registro per %s è stato cancellato correttamente."
"All log for %s has been successfully cleared.","Tutti i registri per %s sono stati cancellati correttamente."
"All help blocks were restored.","Sono stati ripristinati tutti i blocchi di aiuto."
"Item was not moved","L'oggetto non è stato spostato"
"Not enough data.","Dati non sufficienti."
"The item has not mapped product.","All'oggetto non è associato alcun prodotto."
"Product was successfully unmapped.","Rimozione dell'associazione del prodotto completata correttamente."
"Product already exists in M2E listing(s).","Prodotto già esistente nelle inserzioni M2E."
"Component Mode or Account ID or Marketplace ID is empty.","Modalità componente, ID account o ID mercato vuoto."
"No Other Listings found.","Impossibile trovare altre inserzioni."
"Please select item(s) to clear.","Seleziona gli oggetti da cancellare."
"The 3rd party listing(s) log has been successfully cleaned.","Il registro delle inserzioni di terze parti è stato pulito correttamente."
"The listing(s) log was successfully cleaned.","Il registro delle inserzioni è stato pulito correttamente."
"-- Please select --","-- Seleziona --"
"QTY for selected Order(s) was successfully reserved.","La quantità per gli ordini selezionati è stata prenotata."
"QTY for selected Order(s) was not reserved.","La quantità per gli ordini selezionati non è stata prenotata."
"QTY for selected Order(s) was not reserved. Reason: %s","La quantità per gli ordini selezionati non è stata prenotata. Motivo: %s"
"QTY reserve for selected Order(s) was successfully canceled.","La prenotazione della quantità per gli ordini selezionati è stata annullata."
"QTY reserve for selected Order(s) was not canceled.","La prenotazione della quantità per gli ordini selezionati non è stata annullata."
"QTY reserve for selected Order(s) was not canceled. Reason: %s","La prenotazione della quantità per gli ordini selezionati non è stata annullata. Motivo: %s"
"Order item does not exist.","L'oggetto dell'ordine non esiste."
"Mapping Product ""%s""","Associazione prodotto ""%s"""
"Setting Product Options","Opzioni di impostazione del prodotto"
"Product does not have required options.","Il prodotto non presenta le opzioni necessarie."
"Please specify required options.","Specifica le opzioni richieste."
"Order item was successfully mapped.","L'oggetto dell'ordine è stato associato."
"Order item options were successfully configured.","Le opzioni dell'oggetto dell'ordine sono state configurate."
"Item was successfully unmapped.","Annullamento dell'associazione dell'oggetto eseguito correttamente."
"Shipping Information has been resend for %d order(s).","Le informazioni di spedizione sono state inviate nuovamente per %d ordini."
"Shipping Information was not resend for %d order(s).","Le informazioni di spedizione non sono state inviate nuovamente per %d ordini."
"Order ID is not defined.","ID ordine non definito."
"Order with such ID does not exist.","Non è disponibile alcun ordine con questo ID."
"Order was successfully deleted.","L'ordine è stato eliminato correttamente."
"M2E Pro","M2E Pro"
"You should fill in all required fields.","È necessario compilare tutti i campi obbligatori."
"Your message has been successfully sent.","Il messaggio è stato inviato correttamente."
"Token is not defined","Codice temporaneo non definito"
"Account Add Entity failed.","Entità Aggiungi account non riuscita."
"Unknown Mode ""%s""","Modalità sconosciuta ""%s"""
"Account id is not defined","ID account non definito"
"Choose Account","Scegli l'account"
"Please confirm account switching. All data that hasn't been saved will be lost.","Conferma il cambio di account. Tutti i dati non salvati saranno persi."
"
        Fill in the title, choose the Marketplace you want to work with and click the <i>Get Access Data</i> link.
        <br/>You will be redirected to the Amazon website.<br/><br/>
    <b>Note:</b> To be eligible to sell on Amazon sellers must have at least one of the following: a non-individual Selling on Amazon account,
    an Amazon WebStore account, a Checkout by Amazon account, or an Amazon Product Ads account.<br/>
    If you are an individual seller you have to upgrade to a Pro Merchant seller account from the Amazon Services Selling on Amazon page.
        <br/>
        <br/>Sign-in and complete steps of getting access for each marketplace:
        <ul class=""list"">
            <li>Select <i>'I want to use an application to access my Amazon seller account with MWS.'</i></li>
            <li>Fill in Application Name and Application's Developer Account Number, which you can find in the Marketplaces section on the current page.</li>
            <li>Accept the Amazon MWS License Agreement.</li>
            <li>Copy generated Merchant ID and paste it in the corresponding fields of the current page.</li>
        </ul>
        Continue working with 3rd Party Listings and Orders settings tabs.
    ","        Compila il titolo, seleziona il mercato con il quale desideri lavorare e clicca sul link <i>Ottieni dati di accesso</i>.        <br/>Sarai reindirizzato al sito Web Amazon.<br/><br/>    <b>Nota:</b> per poter vendere su Amazon è necessario disporre di almeno uno degli elementi seguenti: un account aziendale di vendita su Amazon, un account Amazon WebStore, un account di pagamento tramite Amazon o un account relativo alle inserzioni di prodotti Amazon.<br/>    Se sei un venditore non professionale devi effettuare l'aggiornamento a un account di venditore professionale dalla pagina Vendita su Amazon dei servizi Amazon.        <br/>        <br/>Accedi e completa i passaggi per accedere a ogni mercato:        <ul class=""list"">            <li>Seleziona <i>""Voglio utilizzare un'applicazione per accedere al mio account di venditore di Amazon con MWS"".</i></li>            <li>Immetti il nome dell'applicazione e il numero dell'account di sviluppatore dell'applicazione disponibili nella sezione Mercati della pagina corrente.</li>            <li>Accetta l'Accordo per gli utenti di Amazon MWS.</li>            <li>Copia l'ID venditore professionale generato e incollalo nei campi corrispondenti della pagina corrente.</li>        </ul>        Continua a utilizzare le schede di impostazioni Inserzioni di terze parti e Ordini.    "
"Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.","Attenzione L'eliminazione dell'account comporta l'eliminazione di tutte le relative informazioni dal server M2E Pro. Questo comporta un lavoro inappropriato per tutte le copie degli account."
"The specified title is already used for other account. Account title must be unique.","Il titolo specificato è già utilizzato per un altro account. Il titolo dell'account deve essere univoco."
"You must choose marketplace first.","Innanzitutto è necessario scegliere il mercato."
"M2E Pro was not able to get access to the Amazon account. Please, make sure, that you choose correct option on MWS Authorization page and enter correct Merchant ID.","Impossibile accedere all'account Amazon tramite M2E Pro. Assicurati di aver scelto l'opzione corretta nella pagina Autorizzazione MWS e immetti l'ID venditore professionale corretto."
"M2E Pro was not able to get access to the Amazon account. Reason: %s","Impossibile accedere all'account Amazon tramite M2E Pro. Motivo: %s"
"Title or identifier of Amazon account for your internal use.","Titolo o identificatore dell'account Amazon per uso interno."
"Synchronizing Now","Sincronizzazione in corso"
"Marketplace","Paese"
"None Marketplaces","Nessun mercato"
"You must select and update Amazon marketplaces to get access to this section.","Per poter accedere a questa sezione, seleziona e aggiorna i mercati Amazon."
"Choose Marketplace","Scegli mercato"
"Application Name","Nome applicazione"
"Developer Account Number","Numero account di sviluppatore"
"Get Access Data","Ottieni dati di accesso "
"Merchant ID","ID venditore professionale"
"Paste generated Merchant ID from Amazon. (It must look like: A15UFR7CZVW5YA).","Incolla l'ID venditore professionale da Amazon (deve essere simile a: A15UFR7CZVW5YA)."
"If Yes is chosen, you must select at least one attribute for product mapping.","Se scegli Sì, devi selezionare almeno un attributo per l'associazione dei prodotti."
"
The 3rd Party Listings are the items, which were listed on Amazon without using M2E Pro extension. <br/><br/>
To allow importing of these listings for the current Amazon Account, set Import 3rd Party Listings to <i>Yes</i>.<br/>
Imported Listings can be found in %1$s > Manage Listings > 3rd Party Listings.<br/><br/>
<b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.<br/><br/>
To map the products of the 3rd Party Listings with existing products in Magento by ASIN, ISBN, SKU or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
A Magento product will be mapped if at least one of the chosen attributes meets the same value in Amazon Listing as it has in Magento.
<br/><br/>
After mapping the Amazon Listing can be automatically moved from the 3rd Party Listings to M2E Pro Listings for further management.<br/><br/>

<b>Note:</b> Auto mapping and moving actions are performed only once during the first 3rd Party Listings Synchronization.
Afterwards, it can be performed manually on the 3rd Party Listings page (%1$s > Manage Listings > 3rd Party Listings).
","Le inserzioni di terze parti sono gli oggetti che sono stati messi in vendita su Amazon senza utilizzare l'estensione M2E Pro. <br/><br/>Per consentire l'importazione di queste inserzioni per l'account Amazon corrente, imposta Importa inserzioni di terze parti su <i>Sì</i>.<br/>Le inserzioni importate sono disponibili in %1$s > Gestione inserzioni > Inserzioni di terze parti.<br/><br/><b>Nota:</b> la sincronizzazione delle inserzioni di terze parti deve essere abilitata in %1$s > Configurazione > Sincronizzazione.<br/><br/>Per associare prodotti delle inserzioni di terze parti ai prodotti esistenti in Magento tramite numero ASIN, ISBN, SKU o Titolo, imposta Associazione prodotti su <i>Sì</i> e scegli gli attributi appropriati. Un prodotto Magento sarà associato se almeno uno degli attributi scelti soddisfa lo stesso valore presente in Inserzione Amazon e in Magento.<br/><br/>Dopo l'associazione, l'inserzione Amazon può essere spostata automaticamente da Inserzioni di terze parti a Inserzioni M2E Pro per un'ulteriore gestione.<br/><br/><b>Nota:</b> le azioni di associazione e spostamento automatici vengono effettuate solo una volta durante la prima sincronizzazione delle inserzioni di terze parti. Successivamente, può essere effettuata manualmente nella pagina                                Inserzioni di terze parti (%s > Gestione inserzioni > Inserzioni di terze parti)."
"Import 3rd Party Listings","Importa inserzioni di terze parti"
"Allows importing 3rd Party Listings.","Consente l'importazione di inserzioni di terze parti."
"Related Store View","Negozio correlato"
"Store View, which will be associated with chosen<br/>Marketplace of the current account.","Negozio che verrà associato con il mercato<br/>selezionato dell'account corrente."
"Product Mapping","Associazione prodotti"
