"eBay Motors","eBay Motor"
"Categories","Categorías"
"Store View","Vista de la tienda"
"Listings, which have the same Attribute Set, Marketplace and Account were not found.","No se han encontrado anuncios que tengan el mismo conjunto de atributos, el mismo mercado y la misma cuenta."
"Map To This Product","Asignar a este producto"
"Advanced Search","Búsqueda avanzada"
"Stop And Remove","Detener y eliminar"
"Delete And Remove","Borrar y eliminar"
"Items are not set.","No se han establecido los artículos."
"Current view mode is not set.","No se ha establecido el modo de vista actual."
"Route is not set.","No se ha establecido la ruta."
"High","Alto"
"Medium","Medio"
"Low","Bajo"
"Last action was completed successfully.","La última acción se ha completado correctamente."
"Entity ID is not set.","No se ha establecido el identificador de entidad."
"View help handler is not set.","No se ha establecido el identificador de Ver ayuda."
"Close help handler is not set.","No se ha establecido el identificador de Cerrar ayuda."
"Log rows are not set.","No se han establecido las filas de registro."
"Log tips are not set.","No se han establecido los consejos de registro."
"Log icons are not set.","No se han establecido los iconos de registro."
"Apply","Aplicar"
"Conditions","Condiciones"
"All Marketplaces","Todos los mercados"
"Bundle Items","Artículos de conjunto"
"Links","Vínculos"
"Associated Products","Productos asociados"
"Custom Options","Opciones personalizadas"
"Order #","Pedido número "
"Message","Mensaje"
"Create Date","Fecha de creación"
"Admin (Default Values)","Administrador (valores predeterminados)"
"Attach Another File","Adjuntar otro archivo"
"Send Message","Enviar mensaje"
"Search Results","Resultados de la búsqueda"
"Knowledge Base","Base de conocimientos"
"Contact Support","Contactar con Atención al cliente"
"Support {$m2eProVersion}","Asistencia {$m2eProVersion}"
"Migration Notes","Notas sobre la migración"
"Some attributes which are used in this policy were not found in products settings.'
                . ' Please, check if all of them are in [%s] Attribute Set(s)'
                . ' as it can cause List, Revise or Relist issues.","Algunos de los atributos que se usan en esta política no se han encontrado en la configuración de productos.' . ' Comprueba que estén todos en los conjuntos de atributos de [%s]' . ' ya que se pueden producir problemas en las acciones Poner en venta, Modificar o Volver a poner en venta."
"Template nick is not set.","No se ha establecido el apodo de plantilla."
"Component mode is not set.","No se ha establecido el modo de componente."
"Template data is not set.","No se han establecido los datos de plantilla."
"Currency ""%s"" is not allowed in <a href=""%s"" target=""_blank"">Currency Setup</a> '
                    . 'for Store View ""%s"" of your Magento. '
                    . 'Currency conversion will not be performed.","La divisa ""%s"" no se permite en <a href=""%s"" target=""_blank"">Configuración de divisa</a> ' . 'para la vista de la tienda ""%s"" de Magento. ' . 'No se realizará la conversión de divisas."
"There is no rate for ""%s-%s"" in'
                    . ' <a href=""%s"" target=""_blank"">Manage Currency Rates</a> of your Magento.'
                    . ' Currency conversion will not be performed.","No hay ningún tipo de cambio para ""%s-%s"" en' . ' <a href=""%s"" target=""_blank"">Gestionar tipos de cambio de divisa</a> de Magento.' . ' No se realizará la conversión de divisas."
"There is a rate %s for ""%s-%s"" in'
                . ' <a href=""%s"" target=""_blank"">Manage Currency Rates</a> of your Magento.'
                . ' Currency conversion will be performed automatically.","Hay un tipo de cambio %s para ""%s-%s"" en' . ' <a href=""%s"" target=""_blank"">Gestionar tipos de cambio de divisa</a> de Magento.' . ' La conversión de divisas se realizará automáticamente."
"Template model is unknown.","El modelo de plantilla es desconocido."
"Target CSS Class is not set.","No se ha establecido la clase CSS de destino."
"Item url is not set.","No se ha establecido la URL de artículo."
"Item label is not set","No se ha establecido la etiqueta de artículo"
"Congratulations!","Enhorabuena"
"Configuration Wizard","Asistente de configuración"
"Skip Wizard","Omitir asistente"
"Congratulations! (Magento Multi-Channels Integration)","¡Enhorabuena! (Integración de varios canales de Magento)"
"License","Licencia"
"Proceed","Continuar"
"Complete Configuration","Finalizar configuración"
"Configuration Wizard (Magento Multi-Channels Integration)","Asistente de configuración (Integración de varios canales de Magento)"
"Start Configuration","Iniciar configuración"
"Welcome to M2E Pro - Magento Multi-Channels Integration!","Bienvenido a Integración de varios canales de M2E Pro - Magento."
"Create an M2E Listing","Crear un anuncio de M2E"
"M2E Registration Complete","Registro de M2E finalizado"
"Sign into eBay","Identifícate en eBay"
"Register for eBay","Regístrate en eBay"
"M2E Registration","Registro de M2E"
"What Is An M2E Listing?","¿Qué es un anuncio de M2E?"
"M2E Mode","Modo M2E"
"What are M2E Products and How Do They Appear on eBay","Qué son los productos M2E y cómo aparecen en eBay"
"Register and Link to eBay","Registrar y vincular con eBay"
"Link Magento to eBay and increase your sales","Vincula Magento con eBay y aumenta las ventas"
"M2E Pro Migration to v. %s","Migración de M2E Pro a la versión %s"
"Next Step","Siguiente paso"
"Previous Step","Paso anterior"
"Complete","Finalizado"
"M2E Pro module is locked because of security reason. Please contact us.","El módulo M2E Pro está bloqueado debido por motivos de seguridad. Ponte en contacto con nosotros."
"Maintenance is Active.","El mantenimiento está activo."
"M2E Pro is working in maintenance mode at the moment. Developers are investigating your issue.","Actualmente, M2E Pro está trabajando en modo de mantenimiento. Los desarrolladores están investigando el problema."
"You will be able to see a content of this page soon. Please wait and then refresh a browser page later.","En breve podrás ver el contenido de esta página. Espera y actualiza la página del navegador más tarde."
"We are sorry, Internet Explorer browser is not supported. Please, use
                 another browser (Mozilla Firefox, Google Chrome, etc.).","Lo sentimos; el navegador Internet Explorer no es compatible. Usa otro (Mozilla Firefox, Google Chrome, etc.)."
"At least 1 channel of current view should be enabled.","Al menos un canal de la vista actual debe estar activado."
"Step is invalid","El paso no es válido"
"Status is invalid","El estado no es válido"
"Server domain is not defined","No se ha definido el dominio de servidor"
"Server IP is not defined","No se ha definido la IP de servidor"
"Amazon (Beta)","Amazon (beta)"
"Rakuten.com (Beta)","Rakuten.com (beta)"
"Please, specify a value suitable for all chosen products.","Especifica un valor adecuado para todos los productos elegidos."
"eBay","eBay"
"1 day","1 días"
"3 days","3 días"
"5 days","5 días"
"7 days","7 días"
"10 days","10 días"
"30 days","30 días"
"Good Till Cancelled","Anuncio abierto"
"Play.com (Beta)","Play.com (beta)"
"Class name must begin with ""Ess_M2ePro""","El nombre de clase debe empezar por ""Ess_M2ePro"""
"Attribute sets must be less then 50","Los conjuntos de atributos deben ser inferiores a 50"
"Getting default website is failed","No se ha podido obtener el sitio Web predeterminado"
"Getting default store group is failed","No se ha podido obtener el grupo de tiendas predeterminado"
"Getting default store is failed","No se ha podido obtener la tienda predeterminada"
"Fatal error occurred","Se ha producido un error grave"
"PHP Version","Versión para PHP"
"Memory Limit","Límite de memoria"
"Magento Version","Versión para Magento"
"Max Execution Time","Tiempo de ejecución máximo"
"Server connection is failed. Please try again later.","Se ha producido un error de conexión del servidor. Inténtalo de nuevo más tarde."
"Sell On Multi-Channels","Vender en varios canales"
"Controller file was loaded but class does not exist","Se ha cargado el archivo de controlador, pero la clase no existe"
"Control Panel (M2E Pro)","Panel de control (M2E Pro)"
"New buyer negative feedback was received. Go to the %sfeedback page%s.","Se han recibido nuevos votos negativos de compradores. Ve a la %spágina de votos%s."
"The token for ""%s"" eBay Account has been expired.
                        <br/>
                        Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                        click on the Get Token button. (You will be redirected to the eBay website.)
                        Sign-in and press I Agree on eBay page.
                        Do not forget to press Save button after returning back to Magento","El código de la cuenta de eBay ""%s"" ha caducado.                        <br/>                        Ve a %s > Configuración > Cuenta de eBay > <a href=""%s"" target=""_blank"">pestaña General</a> y pulsa el botón Obtener código personal. (Accederás al sitio Web de eBay.) Identifícate y pulsa Acepto en la página de eBay. No olvides pulsar el botón Guardar después de volver a Magento"
"Attention! The token for ""%s"" eBay Account will be expired soon ( %s ).
                    <br/>
                    Please, go to %s > Configuration > eBay Account > <a href=""%s"" target=""_blank"">General TAB</a>,
                    click on the Get Token button. (You will be redirected to the eBay website.)
                    Sign-in and press I Agree on eBay page.
                    Do not forget to press Save button after returning back to Magento","¡Atención! El código de la cuenta de eBay ""%s"" caducará pronto (%s).                    <br/>                        Ve a %s > Configuración > Cuenta de eBay > <a href=""%s"" target=""_blank"">pestaña General</a> y pulsa el botón Obtener código personal. (Accederás al sitio Web de eBay.) Identifícate y pulsa Acepto en la página de eBay. No olvides pulsar el botón Guardar después de volver a Magento"
"Sell On eBay","Vender en eBay"
"Request was deleted during account deleting.","La solicitud se ha eliminado durante el borrado de la cuenta."
"Encoding type ""%s"" is not supported.","No se admite el tipo de codificación ""%s""."
"Instance does not exist.","La instancia no existe."
"Method require loaded instance first","El método requiere que primero se cargue la instancia"
"Error occurred while creating archive.","Se ha producido un error al crear el archivo."
"Content does not exist.","El contenido no existe."
"Set component mode first","Establece primero el modo de componente"
"Resource is not set.","No se ha establecido el recurso."
"ORM for config is not defined.","No se ha definido OMR para la configuración."
"Validation Failed. The server response data is not valid.","La validación ha fallado. Los datos de respuesta del servidor no son válidos."
"Internal server error(s) [%errors%]","Errores internos del servidor [%errors%]"
"Please ensure that CURL library is installed on your server and it supports HTTPS
            protocol. Also ensure that outgoing connection to m2epro.com, port 443 is allowed by firewall.","Asegúrate de que la biblioteca CURL está instalada en tu servidor y que admite el protocolo HTTPS. Además, asegúrate de que el firewall permite la conexión de salida a m2epro.com por el puerto 443."
"Requested command has invalid format.","El comando solicitado tiene un formato no válido."
"The name of log file is not specified.","No se ha especificado el nombre del archivo de registro."
"Creation of Log file is failed.","No se ha podido crear el archivo de registro."
"Removing of Log file is failed.","No se ha podido eliminar el archivo de registro."
"M2ePro base var dir creation is failed.","No se ha podido crear el directorio variable base de M2E Pro."
"Custom var dir creation is failed.","No se ha podido crear el directorio variable personalizado."
"M2ePro base var dir removing is failed.","No se ha podido eliminar el directorio variable base de M2E Pro."
"Custom var dir removing is failed.","No se ha podido eliminar el directorio de variables personalizadas."
"Listing component is not defined.","No se ha definido el componente del anuncio."
"Listing id is not defined.","No se ha definido el identificador del anuncio."
"Item was successfully mapped","El artículo se ha asignado correctamente"
"Item was successfully unmapped","El artículo se ha desasignado correctamente"
"Product id is not set","No se ha establecido el identificador de producto"
"Item was successfully deleted","El artículo se ha eliminado correctamente"
"Listing was successfully deleted","El anuncio se ha eliminado correctamente"
"Item was successfully added","El artículo se ha añadido correctamente"
"Variation option was deleted. Item was reset.","La opción de variante se ha eliminado. El artículo se ha restablecido."
"Wrong nick of lock item.","Apodo erróneo de artículo de bloqueo."
"Wrong max deactivate lock item time.","Tiempo máximo erróneo de artículo de bloqueo de desactivación."
"Wrong object class for getting action_id!","Clase de objeto errónea para obtener action_id."
"Cancel is not allowed for Orders which were already Canceled.","No se pueden cancelar pedidos que ya se han cancelado."
"Cancel is not allowed for Orders with Invoiced Items.","No se permite la cancelación de los pedidos con artículos facturados."
"Cancel is not allowed for Orders which were put on Hold.","No se permite la cancelación de los pedidos que están retenidos."
"Cancel is not allowed for Orders which were Completed or Closed.","No se permite la cancelación de los pedidos que están finalizados o cerrados."
"M2E Pro Notes","Notas de M2E Pro"
"is","es"
"is not","no es"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menos de"
"contains","contiene"
"does not contain","no contiene"
"is one of","es uno de"
"is not one of","no es uno de"
"TRUE","VERDADERO"
"FALSE","FALSO"
"Please choose a condition to add...","Elige una condición para añadirla..."
"Add","Añadir"
"Remove","Eliminar"
"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributo del producto"
"ALL","TODO"
"ANY","CUALQUIERA"
"If %s of these conditions are %s:","Si %s de estas condiciones es %s:"
"Attribute Set","Conjunto de atributos"
"Open Chooser","Abrir selector"
"Out Of Stock","Sin existencias"
"Prefix must be specified before.","El prefijo se debe especificar antes."
"Stock Item is not set.","No se ha establecido el artículo en existencias."
"The requested quantity is not available.","La cantidad solicitada no está disponible. "
"Yes","Sí"
"No","No"
"The Product ID is not set.","No se ha establecido el identificador de producto."
"Load instance first","Carga primero la instancia"
"Attribute does not exist.","El atributo no existe."
"There is no associated products found for grouped product.","No se han encontrado productos asociados para el producto agrupado."
"Payment Status for eBay Order was updated to Paid.","El estado de pago del pedido de eBay se ha actualizado a Pagado."
"Payment Status for %s Order was not updated. View %sorder log%s for more details.","El estado de pago del pedido de %s no se ha actualizado. Consulta %sorder log%s para obtener más detalles."
"From [%from%] to [%to%]","De [%from%] a [%to%]"
"IN Stock","Disponible"
"OUT of Stock","Sin existencias"
"Enabled","Activado"
"Disabled","Desactivado"
"From [%from%] to [%to%].","De [%from%] a [%to%]."
"None","Ninguno"
"Attribute ""%attr%"" from [%from%] to [%to%].","Atributo ""%attr%"" de [%from%] a [%to%]."
"Shipping Status for eBay Order was updated.","Se ha actualizado el estado de envío del pedido de eBay."
"Updating Amazon Order Status to Shipped in Progress...","Actualización del estado del pedido de Amazon a Enviado en curso..."
"Updating Rakuten.com Order Status to Shipped in Progress...","Actualización del estado del pedido de Rakuten.com a Envío en curso..."
"Updating Play.com Order Status to Shipped in Progress...","Actualización del estado del pedido de Play.com a Envío en curso..."
"Shipping Status for %s Order was not updated. View %sorder log%s for more details.","El estado de envío del pedido de %s no se ha actualizado. Consulta %sorder log%s para obtener más detalles."
"Product reindex was executed.","Se ha elaborado el nuevo índice de productos."
"Order ID is invalid.","El identificador de categoría no es válido."
"Action is invalid.","La acción no es válida."
"Creator is invalid.","El creador no es válido."
"Magento product is not set.","No se ha establecido el producto de Magento."
"There is no associated product found for grouped product.","No se ha encontrado ningún producto asociado para el producto agrupado."
"There is no associated product found for configurable product.","No se ha encontrado ningún producto asociado para el producto configurable."
"Qty cannot be less than zero.","La cantidad no puede ser inferior a cero."
"Product is disabled.","El producto está desactivado."
"Order Import does not support product type: %type%.","El importe del pedido no admite el tipo de producto: %type%."
"Selected options do not match the product options.","Las opciones seleccionadas no coinciden con las opciones de producto."
"Required options were not selected.","No se han seleccionado las opciones obligatorias."
"Invalid order log type.","Tipo de registro de pedido no válido."
"Invalid order log initiator.","Inicio de registro de pedido no válido."
"Store is not set.","No se ha establecido la tienda."
"Invalid repair data.","Datos de reparación no válidos."
"Invalid repair type.","Tipo de reparación no válido."
"QTY is already reserved.","La cantidad ya está reservada."
"QTY reservation is disabled in Account settings.","La reserva de cantidad está desactivada en la configuración de cuenta."
"QTY is already released.","La cantidad ya está lanzada."
"QTY reserve is already canceled.","La reserva de cantidad ya está cancelada."
"The Order Item(s) was not mapped to Magento Product(s) or mapped incorrect.","Los artículos del pedido no se han asignado a los productos de Magento o se han asignado incorrectamente."
"Product(s) does not exist.","Los productos no existen."
"Shipment handler not found.","No se ha encontrado el identificador de envío."
"Magento Order was not created. Reason: %msg%","No se ha creado el pedido de Magento. Motivo: %msg%"
"Magento Order #%order_id% was created.","Se ha creado el pedido de Magento número %order_id%."
"Payment Transaction was not created. Reason: %msg%","No se ha creado la transacción de pago. Motivo: %msg%"
"Invoice was not created. Reason: %msg%","No se ha creado la factura. Motivo: %msg%"
"Invoice #%invoice_id% was created.","Se ha creado la factura número %invoice_id%."
"Shipment was not created. Reason: %msg%","No se ha creado el envío. Motivo: %msg%"
"Shipment #%shipment_id% was created.","Se ha creado el envío número %shipment_id%."
"Tracking details were not imported. Reason: %msg%","No se han importado los detalles de seguimiento. Motivo: %msg%"
"Tracking details were imported.","Se han importado los detalles de seguimiento."
"Magento Order #%order_id% was canceled.","Se ha cancelado el pedido de Magento número %order_id%."
"Magento Order #%order_id% was not canceled. Reason: %msg%","No se ha cancelado el pedido de Magento número %order_id%. Motivo: %msg%"
"Store does not exist.","La tienda no existe."
"Payment method ""M2E Pro Payment"" is disabled in magento configuration.","La forma de pago ""Pago de M2E Pro"" está desactivada en la configuración de Magento."
"Shipping method ""M2E Pro Shipping"" is disabled in magento configuration.","La forma de envío ""Envío de M2E Pro"" está desactivada en la configuración de Magento."
"Item was successfully moved","El artículo se ha movido correctamente"
"Duplicated Play.com orders with ID #%id%.","Pedidos de Play.com duplicados con el identificador número %id%."
"Product import is disabled in Play Account settings.","La importación de productos se ha desactivado en la Configuración de tu cuenta de Play."
"Product for Play Item ""%id%"" was created in Magento catalog.","El producto del artículo ""%id%"" de Play se ha creado en el catálogo de Magento."
"Product for Play Item ""%title%"" was created in Magento catalog.","El producto del artículo ""%title%"" de Play se ha creado en el catálogo de Magento."
"Magento Order creation for items listed by M2E Pro is disabled in Account settings.","La creación de pedidos de Magento para los artículos puestos a la venta por M2E Pro está desactivada en la Configuración de tu cuenta."
"Magento Order creation for items listed by 3rd party software is disabled in Account settings.","La creación de pedidos de Magento para los artículos puestos en venta por software externo está desactivada en la Configuración de tu cuenta."
"Play Shipping","Envío de Play"
"Customer with ID specified in Play account settings does not exist.","No existe el cliente con el identificador especificado en la configuración de tu cuenta de Play."
"Invalid component mode.","Modo de componente no válido."
"Magento Order creation is not allowed for Pending, Canceled and Refunded Play.com Orders.","La creación de pedidos de Magento no está permitida para los pedidos de Play.com pendientes, cancelados y reembolsados."
"The Product(s) was not found on Play.com.","Los productos no se han encontrado en Play.com."
"Step is out of knowledge base.","El paso no está en la base de conocimientos."
"Task ""Getting Products Links"" is started. Please wait...","Se ha iniciado la tarea ""Obteniendo vínculos de producto"". Por favor, espera..."
"Task ""Getting Products Links"" is finished. Please wait...","La tarea ""Obteniendo vínculos de producto"" ha finalizado. Por favor, espera..."
"Item status was successfully changed to ""Active"".","El estado del artículo se ha cambiado correctamente a ""Activo""."
"Item status was successfully changed to ""Inactive"".","El estado del artículo se ha cambiado correctamente a ""Inactivo""."
"Task ""Update Listings Products"" is started. Please wait...","Se ha iniciado la tarea ""Actualizar productos de anuncios"". Por favor, espera..."
"Task ""Update Listings Products"" is finished. Please wait...","La tarea ""Actualizar productos de anuncios"" ha finalizado. Por favor, espera..."
"Task ""Default Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización predeterminada"". Por favor, espera..."
"Task ""Default Synchronization"" is finished. Please wait...","La tarea ""Sincronización predeterminada"" ha finalizado. Por favor, espera..."
"Task ""Marketplaces Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de mercados"". Por favor, espera..."
"Task ""Marketplaces Synchronization"" is finished. Please wait...","La tarea ""Sincronización de mercados"" ha finalizado. Por favor, espera..."
"The ""Categories Synchronization"" action for marketplace:
//        ""%mrk%"" has been successfully completed.","La acción ""Sincronización de categorías"" del mercado // ""%mrk%"" ha finalizado correctamente."
"Play.com Orders Receive Synchronization","Sincronización de recepción de pedidos de Play.com"
"Task ""%s"" is started. Please wait...","Se ha iniciado la tarea ""%s"". Por favor, espera..."
"Task ""%s"" is finished. Please wait...","La tarea ""%s"" ha finalizado. Por favor, espera..."
"Play.com Orders Update Synchronization","Sincronización de actualización de pedidos de Play.com"
"Task ""3rd Party Listings Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización de anuncios externos"". Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" is finished. Please wait...","La tarea ""Sincronización de anuncios externos"" ha finalizado. Por favor, espera..."
"Task ""3rd Party Listings Synchronization"" for Play.com account: ","La tarea ""Sincronización de anuncios externos"" de la cuenta de Play.com: "
"""%s"" is started. Please wait...","Se ha iniciado ""%s"". Por favor, espera..."
"The ""List"" action is started. Please wait...","Se ha iniciado la acción ""Poner en venta"". Por favor, espera..."
"The ""List"" action is finished. Please wait...","La acción ""Poner en venta"" ha finalizado. Por favor, espera..."
"The ""Relist"" action is started. Please wait...","Se ha iniciado la acción ""Volver a poner en venta"". Por favor, espera..."
"The ""Relist"" action is finished. Please wait...","La acción ""Volver a poner en venta"" ha finalizado. Por favor, espera..."
"The ""Revise"" action is started. Please wait...","Se ha iniciado la acción ""Modificar"". Por favor, espera..."
"The ""Revise"" action is finished. Please wait...","La acción ""Modificar"" ha finalizado. Por favor, espera..."
"The ""Stop"" action is started. Please wait...","Se ha iniciado la acción ""Detener"". Por favor, espera..."
"The ""Stop"" action is finished. Please wait...","La acción ""Detener"" ha finalizado. Por favor, espera..."
"Task ""Inventory Synchronization"" is started. Please wait...","Se ha iniciado la tarea ""Sincronización del inventario"". Por favor, espera..."
"Task ""Inventory Synchronization"" is finished. Please wait...","La tarea ""Sincronización del inventario"" ha finalizado. Por favor, espera..."
"Task ""Inventory Synchronization"" has completed
//                with errors. View %sl%listings log%el% for details.","La tarea ""Sincronización del inventario"" ha finalizado // con errores. Consulta el %sl%registro de anuncios%el% para más información."
"Task ""Inventory Synchronization"" has completed
//                with warnings. View %sl%listings log%el% for details.","La tarea ""Sincronización del inventario"" ha finalizado // con advertencias. Consulta el %sl%registro de anuncios%el% para más información."
"Communication with Play.com is started. Please wait...","Se ha iniciado la comunicación con Play.com. Por favor, espera..."
"Please wait...","Por favor, espera..."
"product(s)","producto(s)"
"product(s) with id(s)","producto(s) con identificador(es)"
"Communication with Play.com is finished. Please wait...","La comunicación con Play.com ha finalizado. Por favor, espera..."
"Request failed.","No se ha podido realizar la solicitud."
"Another synchronization is already running","Ya está en ejecución otra sincronización"
"The ""Deleted Products"" action is started. Please wait...","Se ha iniciado la acción ""Productos eliminados"". Por favor, espera..."
"The ""Deleted Products"" action is finished. Please wait...","La acción ""Productos eliminados"" ha finalizado. Por favor, espera..."
"The ""Auto Actions"" action is started. Please wait...","Se ha iniciado la acción ""Acciones automáticas"". Por favor, espera..."
"The ""Auto Actions"" action is finished. Please wait...","La acción ""Acciones automáticas"" ha finalizado. Por favor, espera..."
"The ""Product Changes"" action is started. Please wait...","Se ha iniciado la acción ""Cambios de producto"". Por favor, espera..."
"The ""Product Changes"" action is finished. Please wait...","La acción ""Cambios de producto"" ha finalizado. Por favor, espera..."
"The ""Inspector Actions"" action is started. Please wait...","Se ha iniciado la acción ""Acciones de inspector"". Por favor, espera..."
"The ""Inspector Actions"" action is finished. Please wait...","La acción ""Acciones de inspector"" ha finalizado. Por favor, espera..."
"The ""Processing"" action is started. Please wait...","Se ha iniciado la acción ""Procesamiento"". Por favor, espera..."
"The ""Processing"" action is finished. Please wait...","La acción ""Procesamiento"" ha finalizado. Por favor, espera..."
"The ""Stopping Products"" action is started. Please wait...","Se ha iniciado la acción ""Deteniendo productos"". Por favor, espera..."
"The ""Stopping Products"" action is finished. Please wait...","La acción ""Deteniendo productos"" ha finalizado. Por favor, espera..."
"Review","Opinión"
"Currency Conversion","Conversión de divisas"
"Notifications","Notificaciones"
"Please select account(s) to remove.","Selecciona las cuentas que quieres eliminar."
"%s record(s) were successfully deleted.","%s registros se han eliminado correctamente"
"%s record(s) are used in M2E Listing(s).","%s registros se usan en anuncios de M2E."
"Account must not be in use to be deleted.","Para poder eliminar una cuenta, esta no puede estar en uso."
"Amazon Accounts","Cuentas de Amazon"
"Account does not exist.","La cuenta no existe."
"The Amazon access obtaining is currently unavailable.<br />Reason: %s","No está disponible en este momento la obtención de acceso a Amazon.<br />Motivo: %s"
"Account was successfully saved","La cuenta se ha guardado correctamente"
"Manage Listings","Gestionar anuncios"
"Amazon Listings","Anuncios de Amazon"
"Listing was successfully added","El anuncio se ha añadido correctamente"
"Listing does not exist.","El anuncio no existe."
"The listing is locked by another process. Please try again later.","El anuncio está bloqueado por otro proceso. Inténtalo de nuevo más tarde."
"The listing was successfully saved.","El anuncio se ha guardado correctamente."
"Please select item(s) to remove.","Selecciona los artículos que quieres eliminar."
"%s listing(s) were successfully deleted","%s anuncios se han eliminado correctamente"
"%s listing(s) have listed items and can not be deleted","%s anuncios tienen artículos en venta y no se pueden eliminar"
"Listing does not exist..","El anuncio no existe."
"The products were added to listing.","Los productos se han añadido al anuncio."
"NO DATA","SIN DATOS"
"There is another active automatic ASIN/ISBN search task ","Hay activa otra tarea de búsqueda de ASIN/ISBN automática "
"for some item(s). Please wait until this search process is finished.","para algunos artículos. Espera hasta que haya finalizado este procesos de búsqueda."
"ASIN(s) was successfully unassigned.","Los ASIN se han desasignado correctamente."
"Some ASIN(s) were not unassigned as their listing status is other than ""Not Listed"".","Algunos ASIN no se han desasignado porque su estado de anuncio es distinto de ""Sin poner en venta""."
"Amazon Orders","Pedidos de Amazon"
"Magento Order was created.","Se ha creado el pedido de Magento."
"Magento Order was not created. Reason: %s","No se ha creado el pedido de Magento. Motivo: %s"
"Invoice was created.","Se ha creado la factura."
"Shipment was created.","Se ha creado el envío."
"Order address has been updated.","Se ha actualizado la dirección del pedido."
"Please select order(s).","Selecciona los pedidos."
"Updating Amazon Order(s) Status to Shipped in Progress...","Actualización del estado de los pedidos de Amazon a Enviado en curso..."
"Order does not exist.","El pedido no existe."
"Please select Not Listed items without assigned ASIN.","Selecciona los artículos sin poner en venta sin ASIN asignado."
"Template has been successfully saved.","La plantilla se ha guardado correctamente."
"Some of the New ASIN template(s) cannot be deleted as they have assigned product(s)","Algunas de las nuevas plantillas de ASIN no se han podido eliminar porque no tienen productos asignados"
"There are no items to assign.","No hay artículos para asignar."
"Template has been successfully assigned.","La plantilla se ha asignado correctamente."
"Some products were not assigned.","Algunos productos no se han asignado."
"Please enter keywords.","Introduce palabras clave."
"Please select at least 1 listing product.","Selecciona al menos un producto de anuncio."
"Template does not exist","La plantilla no existe"
"Template was successfully saved","La plantilla se ha guardado correctamente"
"Rakuten.com Accounts","Cuentas de Rakuten.com"
"The Rakuten.com access obtaining is currently unavailable.<br />Reason: %s","No está disponible en este momento la obtención de acceso a Rakuten.com.<br />Motivo: %s"
"Rakuten.com Listings","Anuncios de Rakuten.com"
"Rakuten.com SKU(s) was successfully unassigned.","Los número de referencia de Rakuten.com se han desasignado correctamente."
"Some Rakuten.com SKU(s) were not unassigned as their listing status is other than ""Not Listed"".","Algunos número de referencia de Rakuten.com no se han desasignado porque su estado del anuncio es distinto de ""Sin poner en venta""."
"Rakuten.com Orders","Pedidos de Rakuten.com"
"Please select Not Listed items without Rakuten.com SKU assigned.","Selecciona los artículos sin poner en venta sin número de referencia de Rakuten.com asignado."
"Please select Not Listed items.","Selecciona los artículos sin poner en venta."
"Some of the New SKU template(s) cannot be deleted as they have assigned product(s)","Algunas de las plantillas de número de referencia nuevo no se han podido eliminar porque no tienen productos asignados)"
"Each keyword should be at least three characters.","Cada palabra clave debe tener tres caracteres como mínimo."
"Product(s) was not assigned","Los productos no se han asignado"
"Global","Global"
"The 3rd party listings are locked by another process. ","Los anuncios externos están bloqueados por otro proceso. "
"Please try again later.","Inténtalo de nuevo más tarde."
"Component is not defined.","No se ha definido el componente."
"The item was successfully removed.","El artículo se ha eliminado correctamente."
"You must create at least one selling format template first.","Antes debes crear al menos una plantilla de formato de venta."
"You must create at least one synchronization template first.","Antes debes crear al menos una plantilla de sincronización."
"Component and Listing Product must be specified.","Se deben especificar el componente y el producto de anuncio."
"Component, Listing Product and Variation Data must be specified.","Se deben especificar el componente, el producto de anuncio y los datos de variante."
"Only 1 variation must leave.","Solo se debe dejar una variante."
"Variation has been successfully edited.","La variante se ha modificado correctamente."
"Variation(s) has been successfully saved.","Las variantes se han guardado correctamente."
"Component and Listing Products must be specified.","Se deben especificar el componente y los productos de anuncio."
"The items were successfully duplicated.","Los artículos se han duplicado correctamente."
"Activity Logs","Registros de actividad"
"3rd Party Listing does not exist.","El anuncio externo no existe."
"Play.com Accounts","Cuentas de Play.com"
"The Play.com access obtaining is currently unavailable.<br />Reason: %s","No está disponible en este momento la obtención de acceso a Play.com.<br />Motivo: %s"
"Play.com Listings","Anuncios de Play.com"
"Play ID(s) was successfully unassigned.","Los identificadores de Play se han desasignado correctamente."
"Some Play ID(s) were not unassigned as their listing status is other than ""Not Listed"".","Algunos identificadores de Play no se han desasignado porque su estado de anuncio es distinto de ""Sin poner en venta""."
"Play.com Orders","Pedidos de Play.com"
"Component can'be empty","El componente no puede estar vacío"
"Please select item(s) to clear","Selecciona los artículos que quieres borrar"
"The synchronization task log has been successfully cleaned.","El registro de tareas de sincronización se ha limpiado correctamente."
"Data has been sent on Amazon. It is being processed now. You can continue working with M2E Pro.","Los datos se han remitido en Amazon. Se está procesando ahora. Puedes seguir trabajando con M2E Pro."
